add-yield-m,12,20,480,856598,1784,0
add-m,12,40,960,583899,608,0
add-yield-m,12,40,960,1578563,1644,0
add-m,12,80,1920,533652,277,0
add-yield-m,12,80,1920,2894839,1507,0
add-m,12,100,2400,417130,173,0
add-yield-m,12,100,2400,3620617,1508,0
add-m,12,1000,24000,2822431,117,0
add-yield-m,12,1000,24000,39990338,1666,0
add-m,12,10000,240000,28447970,118,0
add-yield-m,12,10000,240000,384910082,1603,0
add-c,1,10,20,150598,7529,0
add-yield-c,1,10,20,153271,7663,0
add-c,1,20,40,58943,1473,0
add-yield-c,1,20,40,121045,3026,0
add-c,1,40,80,124367,1554,0
add-yield-c,1,40,80,142240,1778,0
add-c,1,80,160,111979,699,0
add-yield-c,1,80,160,237557,1484,0
add-c,1,100,200,175151,875,0
add-yield-c,1,100,200,304164,1520,0
add-c,1,1000,2000,194084,97,0
add-yield-c,1,1000,2000,1191024,595,0
add-c,1,10000,20000,521830,26,0
add-yield-c,1,10000,20000,11923337,596,0
add-c,2,10,40,172255,4306,0
add-yield-c,2,10,40,168164,4204,0
add-c,2,20,80,138729,1734,0
add-yield-c,2,20,80,208547,2606,0
add-c,2,40,160,68243,426,0
add-yield-c,2,40,160,158280,989,0
add-c,2,80,320,113787,355,0
add-yield-c,2,80,320,345332,1079,0
add-c,2,100,400,186500,466,0
add-yield-c,2,100,400,369019,922,0
add-c,2,1000,4000,245346,61,0
add-yield-c,2,1000,4000,2624785,656,0
add-c,2,10000,40000,2581270,64,0
add-yield-c,2,10000,40000,24939337,623,0
add-c,4,10,80,210324,2629,0
add-yield-c,4,10,80,222741,2784,0
add-c,4,20,160,126484,790,0
add-yield-c,4,20,160,274064,1712,0
add-c,4,40,320,164659,514,0
add-yield-c,4,40,320,314608,983,0
add-c,4,80,640,217005,339,0
add-yield-c,4,80,640,485995,759,0
add-c,4,100,800,171221,214,0
add-yield-c,4,100,800,570035,712,0
add-c,4,1000,8000,669034,83,0
add-yield-c,4,1000,8000,4661754,582,0
add-c,4,10000,80000,7292791,91,0
add-yield-c,4,10000,80000,45005125,562,0
add-c,8,10,160,293813,1836,0
add-yield-c,8,10,160,364448,2277,0
add-c,8,20,320,333415,1041,0
add-yield-c,8,20,320,356424,1113,0
