list-d-s,4,1,1,12,157980,13165
list-l-none,4,1,1,12,198330,16527
list-l-m,4,1,1,12,206522,17210
list-l-s,4,1,1,12,262652,21887
list-id-none,4,1,1,12,159221,13268
list-id-m,4,1,1,12,315645,26303
list-id-s,4,1,1,12,147125,12260
list-il-none,4,1,1,12,165906,13825
list-il-m,4,1,1,12,206185,17182
list-il-s,4,1,1,12,175534,14627
list-dl-none,4,1,1,12,156063,13005
list-dl-m,4,1,1,12,143922,11993
list-dl-s,4,1,1,12,235980,19665
list-idl-none,4,1,1,12,197571,16464
list-idl-m,4,1,1,12,136269,11355
list-idl-s,4,1,1,12,208496,17374
list-i-none,4,2,1,24,247251,10302
list-i-m,4,2,1,24,165749,6906
list-i-s,4,2,1,24,183574,7648
list-d-none,4,2,1,24,155358,6473
list-d-m,4,2,1,24,232656,9694
list-d-s,4,2,1,24,114708,4779
list-l-none,4,2,1,24,166451,6935
list-l-m,4,2,1,24,165559,6898
list-l-s,4,2,1,24,199865,8327
list-id-none,4,2,1,24,147463,6144
list-id-m,4,2,1,24,177568,7398
list-id-s,4,2,1,24,158139,6589
list-il-none,4,2,1,24,211624,8817
list-il-m,4,2,1,24,160593,6691
list-il-s,4,2,1,24,248664,10361
list-dl-none,4,2,1,24,189384,7891
list-dl-m,4,2,1,24,162354,6764
list-dl-s,4,2,1,24,159483,6645
list-idl-none,4,2,1,24,158303,6595
list-idl-m,4,2,1,24,177603,7400
list-idl-s,4,2,1,24,161933,6747
list-i-none,4,4,1,48,150836,3142
list-i-m,4,4,1,48,172778,3599
list-i-s,4,4,1,48,148677,3097
list-d-none,4,4,1,48,165424,3446
list-d-m,4,4,1,48,171793,3579
list-d-s,4,4,1,48,154038,3209
list-l-none,4,4,1,48,163304,3402
list-l-m,4,4,1,48,172293,3589
list-l-s,4,4,1,48,150643,3138
list-id-m,4,4,1,48,216193,4504
list-id-s,4,4,1,48,196708,4098
list-il-none,4,4,1,48,157472,3280
list-il-m,4,4,1,48,165908,3456
list-il-s,4,4,1,48,227776,4745
list-dl-none,4,4,1,48,154499,3218
list-dl-m,4,4,1,48,161970,3374
list-dl-s,4,4,1,48,166246,3463
list-idl-none,4,4,1,48,184275,3839
list-idl-m,4,4,1,48,219085,4564
list-idl-s,4,4,1,48,159893,3331
list-i-m,4,8,1,96,286813,2987
list-i-s,4,8,1,96,179308,1867
list-d-m,4,8,1,96,191965,1999
list-d-s,4,8,1,96,194674,2027
list-l-none,4,8,1,96,188750,1966
list-l-m,4,8,1,96,245843,2560
list-l-s,4,8,1,96,161197,1679
list-id-none,4,8,1,96,139157,1449
list-id-m,4,8,1,96,197780,2060
list-id-s,4,8,1,96,205636,2142
list-il-none,4,8,1,96,278181,2897
list-il-m,4,8,1,96,162229,1689
list-il-s,4,8,1,96,211787,2206
list-dl-none,4,8,1,96,200009,2083
list-dl-m,4,8,1,96,218571,2276
list-dl-s,4,8,1,96,130020,1354
list-idl-none,4,8,1,96,216494,2255
list-idl-m,4,8,1,96,210326,2190
list-idl-s,4,8,1,96,224567,2339
list-i-none,4,16,1,192,147686,769
list-i-m,4,16,1,192,197981,1031
list-i-s,4,16,1,192,200897,1046
list-d-m,4,16,1,192,196662,1024
list-d-s,4,16,1,192,166208,865
list-l-m,4,16,1,192,254056,1323
list-l-s,4,16,1,192,159813,832
list-id-m,4,16,1,192,341628,1779
list-id-s,4,16,1,192,190166,990
list-il-m,4,16,1,192,208886,1087
list-il-s,4,16,1,192,164169,855
list-dl-m,4,16,1,192,202230,1053
list-dl-s,4,16,1,192,166034,864
list-idl-m,4,16,1,192,337270,1756
list-idl-s,4,16,1,192,210676,1097
list-i-m,4,32,1,384,354045,921
list-i-s,4,32,1,384,202509,527
list-d-none,4,32,1,384,346757,903
list-d-m,4,32,1,384,228379,594
list-d-s,4,32,1,384,195285,508
list-l-none,4,32,1,384,178586,465
list-l-m,4,32,1,384,200623,522
list-l-s,4,32,1,384,194671,506
list-id-m,4,32,1,384,351994,916
list-id-s,4,32,1,384,366834,955
list-il-m,4,32,1,384,265153,690
list-il-s,4,32,1,384,280944,731
list-dl-m,4,32,1,384,348278,906
list-dl-s,4,32,1,384,256870,668
list-idl-none,4,32,1,384,272150,708
list-idl-m,4,32,1,384,550440,1433
list-idl-s,4,32,1,384,362688,944
list-i-none,8,1,1,24,353421,14725
list-i-m,8,1,1,24,477456,19894
list-i-s,8,1,1,24,370657,15444
list-d-none,8,1,1,24,256502,10687
list-d-m,8,1,1,24,476864,19869
list-d-s,8,1,1,24,426635,17776
list-l-none,8,1,1,24,247768,10323
list-l-m,8,1,1,24,328467,13686
list-l-s,8,1,1,24,302455,12602
list-id-none,8,1,1,24,353377,14724
list-id-m,8,1,1,24,345424,14392
list-id-s,8,1,1,24,445800,18575
list-il-none,8,1,1,24,320807,13366
list-il-m,8,1,1,24,416717,17363
list-il-s,8,1,1,24,317946,13247
list-dl-none,8,1,1,24,346353,14431
list-dl-m,8,1,1,24,419086,17461
list-dl-s,8,1,1,24,281373,11723
list-idl-none,8,1,1,24,275798,11491
